,Epoch,Train_accuracy,Test_accuracy
0,Epoch1,0.8768041237113402,0.9002022926500337
1,Epoch2,0.9355670103092784,0.9103169251517196
2,Epoch3,0.9580756013745704,0.8705327039784221
3,Epoch4,0.9757731958762886,0.8961564396493594
4,Epoch5,0.9833333333333332,0.9271746459878624
5,Epoch6,0.9872852233676976,0.9527983816587996
6,Epoch7,0.9872852233676976,0.9554956169925826
7,Epoch8,0.9914089347079038,0.9507754551584626
8,Epoch9,0.995704467353952,0.9501011463250169
9,Epoch10,0.9938144329896909,0.9501011463250169
10,Epoch11,0.9938144329896909,0.9130141604855024
11,Epoch12,0.9950171821305842,0.9480782198246795
12,Epoch13,0.99553264604811,0.9453809844908968
