Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
0,0.9094501733779907,0.2386447787284851,0.9312204718589783,0.2148456871509552
1,0.9628865718841553,0.1039542406797409,0.9541469812393188,0.14714573323726654
2,0.9786941409111023,0.07234905660152435,0.9291975498199463,0.2076883167028427
3,0.988487958908081,0.04164036735892296,0.9467296004295349,0.1987360268831253
4,0.9895188808441162,0.03228219598531723,0.9440323710441589,0.25370854139328003
5,0.9872851967811584,0.04385455697774887,0.9251517057418823,0.24495384097099304
6,0.9919244050979614,0.03128022328019142,0.9622387290000916,0.12315746396780014
7,0.992439866065979,0.027497297152876854,0.9487525224685669,0.24385112524032593
8,0.9972508549690247,0.012878007255494595,0.8604180812835693,0.5159587264060974
9,0.9953608512878418,0.017721988260746002,0.8664868474006653,0.7066037058830261
10,0.9890034198760986,0.03546735644340515,0.9501011371612549,0.2140808254480362
11,0.9922680258750916,0.03206564113497734,0.9602158069610596,0.12832477688789368
